timestamp, gpu_0_utilization.gpu [% or MiB], gpu_0_utilization.memory [% or MiB], gpu_0_memory.total [% or MiB], gpu_0_memory.free [% or MiB], gpu_0_memory.used [% or MiB], gpu_1_utilization.gpu [% or MiB], gpu_1_utilization.memory [% or MiB], gpu_1_memory.total [% or MiB], gpu_1_memory.free [% or MiB], gpu_1_memory.used [% or MiB]
2025/03/16 22:20:36.506, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:37.766, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:38.811, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:40.170, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:41.401, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:42.446, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:43.832, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:45.065, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:46.106, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:47.464, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:48.723, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:49.769, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:51.123, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:52.354, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:53.401, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:54.588, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:55.635, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:56.689, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:57.899, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:58.943, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:00.125, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:01.168, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:02.215, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:03.500, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:04.543, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:05.644, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:06.690, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:07.734, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:08.916, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
