timestamp, gpu_0_utilization.gpu [% or MiB], gpu_0_utilization.memory [% or MiB], gpu_0_memory.total [% or MiB], gpu_0_memory.free [% or MiB], gpu_0_memory.used [% or MiB], gpu_1_utilization.gpu [% or MiB], gpu_1_utilization.memory [% or MiB], gpu_1_memory.total [% or MiB], gpu_1_memory.free [% or MiB], gpu_1_memory.used [% or MiB], gpu_2_utilization.gpu [% or MiB], gpu_2_utilization.memory [% or MiB], gpu_2_memory.total [% or MiB], gpu_2_memory.free [% or MiB], gpu_2_memory.used [% or MiB], gpu_3_utilization.gpu [% or MiB], gpu_3_utilization.memory [% or MiB], gpu_3_memory.total [% or MiB], gpu_3_memory.free [% or MiB], gpu_3_memory.used [% or MiB]
2025/03/14 20:22:47.731, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:22:48.802, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:22:49.875, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:22:50.945, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:22:52.015, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:22:53.083, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:22:54.152, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:22:55.221, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:22:56.289, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:22:57.360, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:22:58.439, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:22:59.508, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:00.579, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:01.644, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:02.712, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:03.793, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:04.860, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:05.923, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:06.992, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:08.057, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:09.147, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:10.225, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:11.294, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:12.374, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:13.442, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:14.508, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:15.574, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:16.642, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:17.715, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:18.790, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:19.861, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:20.926, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:21.991, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:23.058, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:24.125, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:25.188, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:26.259, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:27.326, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:28.396, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:29.463, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:30.529, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:31.598, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:32.674, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:33.739, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:34.804, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:35.872, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:36.940, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:38.006, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:39.086, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:40.147, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:23:41.216, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
